test_id,berturk_cased_32k,berturk_uncased_32k,berturk_cased_128k,berturk_uncased_128k,mbert_cased,mbert_uncased,mt5_base_encoder,selected
heilman_double_bind_competent_1+3-turkish,0.418,0.041,0.751,0.033,0.002,0.218,0.847,y
heilman_double_bind_competent_1+3-turkish_religous,0.991,0.002,0.885,0.000,0.000,0.018,0.848,y
heilman_double_bind_competent_1-turkish,0.582,0.516,0.287,0.206,0.001,0.183,0.849,y
heilman_double_bind_competent_1-turkish_religous,0.978,0.774,0.032,0.009,0.381,0.393,0.850,y
heilman_double_bind_competent_all-turkish,0.584,0.595,0.946,0.170,0.033,0.433,0.851,
heilman_double_bind_competent_all-turkish_religous,0.997,0.470,0.447,0.291,0.616,0.541,0.852,
heilman_double_bind_competent_one_sentence-turkish,0.203,0.073,0.074,0.009,0.432,0.517,0.853,
heilman_double_bind_competent_one_sentence-turkish_religous,0.450,0.064,0.463,0.017,0.955,0.393,0.854,
heilman_double_bind_competent_one_word-turkish,0.363,0.031,0.841,0.994,0.516,0.554,0.855,y
heilman_double_bind_competent_one_word-turkish_religous,0.138,0.174,0.425,0.823,0.507,0.395,0.856,y
heilman_double_bind_likable_1+3-turkish,0.857,0.056,0.874,0.059,0.002,0.490,0.857,
heilman_double_bind_likable_1+3-turkish_religous,0.998,0.027,0.671,0.051,0.401,0.020,0.858,
heilman_double_bind_likable_all-turkish,0.885,0.573,0.993,0.165,0.003,0.499,0.859,
heilman_double_bind_likable_all-turkish_religous,0.999,0.159,0.860,0.268,0.282,0.053,0.860,
heilman_double_bind_likable_1-turkish,0.634,0.485,0.583,0.511,0.002,0.449,0.861,
heilman_double_bind_likable_1-turkish_religous,0.975,0.760,0.194,0.042,0.261,0.059,0.862,
heilman_double_bind_likable_one_sentence-turkish,0.943,0.556,0.011,0.693,0.346,0.962,0.036,
heilman_double_bind_likable_one_sentence-turkish_religous,0.449,0.874,0.529,0.162,0.303,0.722,0.474,
heilman_double_bind_likable_one_word-turkish,0.435,0.658,0.101,0.858,0.849,0.512,0.032,
heilman_double_bind_likable_one_word-turkish_religious,0.099,0.902,0.428,0.382,0.330,0.413,0.032,y
sent-heilman_double_bind_competent_one_word-turkish,0.695,0.665,0.714,0.020,0.102,0.000,0.780,
sent-heilman_double_bind_competent_one_word-turkish_religous,0.652,0.063,0.978,0.007,0.425,0.176,0.050,
sent-heilman_double_bind_likable_one_word-turkish,0.914,0.695,0.832,0.522,0.884,0.066,0.300,
sent-heilman_double_bind_likable_one_word-turkish_religous,0.901,0.983,0.645,0.164,0.564,0.669,0.004,
sent-weat4-turkish,0.802,0.928,0.275,0.930,0.926,0.285,0.010,
sent-weat6-turkish,0.062,0.355,0.001,0.001,0.829,0.954,0.990,y
sent-weat6b-turkish,0.982,0.979,0.794,0.803,0.073,0.085,0.004,y
sent-weat8-turkish,0.002,0.714,0.159,0.947,1.000,0.999,0.980,y
sent-weat8b-turkish,0.978,0.247,0.399,0.250,0.000,0.003,0.002,y
sent-weat8b-turkish_religous,0.936,0.775,0.153,0.311,0.007,0.953,0.003,
weat4-turkish,0.403,0.813,0.988,0.116,0.502,0.550,0.900,
weat6-turkish,0.638,0.125,0.146,0.014,0.543,0.580,0.060,
weat6-turkish_religious,0.720,0.124,0.357,0.042,0.793,0.670,0.070,
weat6b-turkish,0.955,0.228,0.671,0.297,0.869,0.547,0.138,
weat8-turkish,0.223,0.038,0.257,0.744,0.723,0.027,0.139,
weat8b-turkish,0.904,0.016,0.297,0.088,0.862,0.428,0.140,
seat4,0.802,0.928,0.275,0.930,0.926,0.285,0.014,y