; Turkish Models;Link;;;;;;;Multilungual models;;;;;;;;;;;;;;;;
Tests;BERTurk (cased, 32k);here;BERTurk (ucased, 32k);here;BERTurk (cased, 128k);here;BERTurk (uncased, 128k);here;"BERT-
multilingual-cased";https://huggingface.co/bert-base-multilingual-cased;"BERT-
multilingual-uncased";;google/mt5-base;"using 
mt5EncoderModel!!";;;;;;;;;;;
;p-value;effect size;p-value;effect size;p-value;effect size;p-value;effect size;p-value;effect size;p-value;effect size;p-value;effect size;;;;;;;;;;;
heilman_double_bind_competent_1+3-_turkish:;0.418414918;0.11;0.040559441;0.87;0.751359751;-0.35;0.032944833;0.91;0.001942502;1.37;0.217715618;0.41;0.847397047;-0.53;;;;;;;;;;;
heilman_double_bind_competent_1+3-_turkish-religous:;0.991219891;-1.14;0.001709402;1.38;0.885392385;-0.62;0.000077700;1.73;0.000388500;1.54;0.017948718;1.03;0.950427350;-0.83;;;;;;;;;;;
heilman_double_bind_competent_1-turkish:;0.581662782;-0.10;0.515928516;-0.08;0.287412587;0.22;0.205982906;0.43;0.000543901;1.48;0.182595183;0.48;0.790753691;-0.42;;;;;;;;;;;
heilman_double_bind_competent_1-turkish-religous:;0.978243978;-1.00;0.773659674;-0.44;0.031857032;0.90;0.008780109;1.09;0.380574981;0.17;0.392773893;0.14;0.886635587;-0.61;;;;;;;;;;;
heilman_double_bind_competent_1all_turkish:;0.584226884;-0.11;0.594638695;-0.22;0.945765346;-0.81;0.169774670;0.50;0.033411033;0.91;0.433255633;0.09;0.847008547;-0.51;;;;;;;;;;;
heilman_double_bind_competent_1all_turkish-religous:;0.996736597;-1.22;0.470163170;0.04;0.447086247;0.07;0.290909091;0.28;0.616006216;-0.16;0.541181041;-0.05;0.983682984;-1.05;;;;;;;;;;;
heilman_double_bind_competent_one_sentence-turkish:;0.203030303;0.43;0.072882673;0.74;0.074048174;0.73;0.009479409;1.05;0.432323232;0.09;0.517016317;-0.17;0.918803419;-0.71;;;;;;;;;;;
heilman_double_bind_competent_one_sentence-turkish-religous:;0.449805750;0.10;0.064491064;0.78;0.462859363;0.05;0.017404817;1.02;0.955477855;-0.85;0.392618493;0.05;0.800077700;-0.44;;;;;;;;;;;
heilman_double_bind_competent_one_word-turkish:;0.362626263;0.18;0.030769231;0.91;0.841414141;-0.52;0.993783994;-1.13;0.515773116;-0.02;0.553768454;-0.07;0.955866356;-0.85;;;;;;;;;;;
heilman_double_bind_competent_one_word-turkish-religous:;0.137529138;0.56;0.173970474;0.48;0.425330225;0.09;0.823465423;-0.49;0.506526807;-0.01;0.395260295;0.14;0.746853147;-0.34;;;;;;;;;;;
heilman_double_bind_likable_1+3-_turkish:;0.856876457;-0.54;0.056177156;0.80;0.873504274;-0.59;0.058585859;0.80;0.001554002;1.35;0.490365190;0.01;0.711033411;-0.29;;;;;;;;;;;
heilman_double_bind_likable_1+3-_turkish-religous:;0.998057498;-1.37;0.026961927;0.95;0.670629371;-0.23;0.050815851;0.82;0.401398601;0.13;0.020435120;1.00;0.851592852;-0.53;;;;;;;;;;;
heilman_double_bind_likable_1-all-turkish:;0.884693085;-0.61;0.573426573;-0.26;0.993395493;-1.19;0.165112665;0.50;0.003263403;1.27;0.498679099;0.00;0.757886558;-0.36;;;;;;;;;;;
heilman_double_bind_likable_1-all-turkish-religous:;0.998834499;-1.44;0.159052059;0.51;0.859518260;-0.56;0.267676768;0.32;0.282284382;0.30;0.053069153;0.81;0.835275835;-0.50;;;;;;;;;;;
heilman_double_bind_likable_1-turkish:;0.634110334;-0.18;0.485392385;0.02;0.582672883;-0.05;0.510955711;-0.02;0.001864802;1.34;0.448951049;0.07;0.592929293;-0.13;;;;;;;;;;;
heilman_double_bind_likable_1-turkish-religous:;0.975369075;-0.97;0.760217560;-0.38;0.194172494;0.50;0.041647242;0.86;0.261305361;0.33;0.058974359;0.79;0.910722611;-0.68;;;;;;;;;;;
heilman_double_bind_likable_one_sentence-turkish:;0.942657343;-0.82;0.555866356;-0.09;0.010567211;1.01;0.693162393;-0.27;0.345532246;0.20;0.961849262;-0.87;0.036752137;0.89;;;;;;;;;;;
heilman_double_bind_likable_one_sentence-turkish-religous:;0.448717949;0.07;0.873892774;-0.59;0.528671329;-0.04;0.162004662;0.51;0.303263403;0.25;0.722455322;-0.30;0.474592075;0.03;;;;;;;;;;;
heilman_double_bind_likable_one_word-turkish:;0.435042735;0.08;0.657886558;-0.16;0.100543901;0.65;0.858197358;-0.55;0.849339549;-0.53;0.511965812;-0.02;0.032090132;0.94;;;;;;;;;;;
heilman_double_bind_likable_one_word-turkish-religious:;0.099145299;0.66;0.901554002;-0.68;0.428438228;0.04;0.381585082;0.17;0.329759130;0.25;0.413053613;0.12;0.031857032;1.04;;;;;;;;;;;
sent-heilman_double_bind_competent_one_word-turkish:;0.695110000;-0.10;0.664610000;-0.09;0.714400000;-0.12;0.019770000;0.42;0.102430000;0.29;0.000320000;0.68;0.780230000;-0.16;;;;;;;;;;;
sent-heilman_double_bind_competent_one_word-turkish-religous:;0.651530000;-0.08;0.062520000;0.31;0.978000000;-0.41;0.006500000;0.50;0.424890000;0.03;0.175810000;0.19;0.050110000;0.34;;;;;;;;;;;
sent-heilman_double_bind_likable_one_word-turk?sh:;0.913880000;-0.28;0.695250000;-0.10;0.832360000;-0.20;0.521830000;-0.01;0.883670000;-0.29;0.066100000;0.31;0.302290000;0.11;;;;;;;;;;;
sent-heilman_double_bind_likable_one_word-turk?sh-religous:;0.901130000;-0.26;0.982920000;-0.43;0.645010000;-0.08;0.164220000;0.20;0.564230000;-0.02;0.669400000;-0.09;0.004670000;0.52;;;;;;;;;;;
sent-weat4-turkish:;0.802210000;-0.14;0.928070000;-0.23;0.274930000;0.10;0.930310000;-0.24;0.925720000;-0.23;0.284500000;0.09;0.013550000;0.35;;;;;;;;;;;
sent-weat6-turkish:;0.062130000;0.32;0.355470000;0.08;0.001400000;0.60;0.000920000;0.62;0.829170000;-0.23;0.954440000;-0.34;0.997860000;-0.57;;;;;;;;;;;
sent-weat6-turkish-religious:;0.115750000;0.24;0.915910000;-0.28;0.023820000;0.40;0.107540000;0.25;0.196480000;0.19;0.407430000;0.05;0.998280000;-0.57;;;;;;;;;;;
sent-weat6b-turkish:;0.982290000;-0.33;0.979240000;-0.32;0.794040000;-0.13;0.802710000;-0.13;0.072830000;0.23;0.084980000;0.21;0.004120000;0.39;;;;;;;;;;;
sent-weat8-turkish:;0.002440000;0.44;0.713790000;-0.09;0.159240000;0.16;0.947000000;-0.26;0.999700000;-0.54;0.999250000;-0.51;0.989780000;-0.38;;;;;;;;;;;
sent-weat8b-turkish:;0.977940000;-0.33;0.247350000;0.11;0.399180000;0.04;0.250290000;0.11;0.000070000;0.54;0.002530000;0.45;0.002240000;0.47;;;;;;;;;;;
sent-weat8b-turkish-religous:;0.935640000;-0.25;0.774510000;-0.12;0.153240000;0.17;0.311080000;0.08;0.006890000;0.39;0.953440000;-0.27;0.000520000;0.52;;;;;;;;;;;
weat4-turkish:;0.402960000;0.10;0.812630000;-0.35;0.988060000;-0.88;0.116320000;0.49;0.501620000;-0.37;0.549560000;-0.06;0.984610000;-0.83;;;;;;;;;;;
weat6-turkish:;0.637839938;-0.20;0.124786325;0.59;0.145609946;0.54;0.013986014;1.04;0.543278943;-0.06;0.579564880;-0.11;0.066899767;0.75;;;;;;;;;;;
weat6-turkish-religious:;0.719968920;-0.33;0.124087024;0.59;0.356721057;0.07;0.041647242;0.84;0.792773893;-0.41;0.669774670;-0.22;0.060839161;0.76;;;;;;;;;;;
weat6b-turkish:;0.954836830;-0.99;0.227564103;0.43;0.671328671;-0.19;0.296911422;0.30;0.869463869;-0.64;0.546620047;-0.20;0.138694639;0.59;;;;;;;;;;;
weat8-turkish:;0.222766123;0.39;0.038461538;0.88;0.256565657;0.11;0.744444444;-0.36;0.722688423;-0.43;0.026573427;0.94;0.605594406;-0.03;;;;;;;;;;;
weat8b-turkish:;0.904040404;-0.66;0.016239316;1.06;0.296581197;0.02;0.088189588;0.69;0.862237762;-0.56;0.427661228;0.10;0.534343434;-0.01;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
